route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
717,0000000022024090920250627,0003235452024090920250627,Trento. Staz. Fs,1,SHAPE01879
196,0000000062024090920250627,0003214652024090920250627,Lavarone Cappella,0,SHAPE00857
340,0000000052024090920250627,0003199242024090920250627,Mezzocorona-Staz.Fs,1,SHAPE00897
80,0000000072024090920250627,0003203392024090920250627,Trento. Autostazione,1,SHAPE00038
562,0000006272024090920250627,0003234982024090920250627,Pergine V. Intermodale,1,SHAPE00366
604,0000000052024090920250627,0003193522024090920250627,Cavalese. Ospedale,0,SHAPE00708
196,0000000072024090920250627,0003222122024090920250627,Rovereto. Staz. Fs,1,SHAPE02104
80,0000000022024090920250627,0003203972024090920250627,M. Terlago. Htl 2 Laghi,0,SHAPE00179
110,0000000022024090920250627,0003217802024090920250627,Arco. Autostazione,0,SHAPE02918
336,0000000072024090920250627,0003246582024090920250627,Mezzana. Staz Ftm,1,SHAPE00447
357,0000000022024090920250627,0003248772024090920250627,Lanza di Rumo,0,SHAPE00363
184,0000005902024090920250627,0003227232024090920250627,Borgo Valsugana-C.Intermodale,1,SHAPE00020
235,0000000052024090920250627,0003220002024090920250627,Nomesino,0,SHAPE01101
171,0000000822024090920250627,0003201852024090920250627,Storo,0,SHAPE00855
196,0000006272024090920250627,0003221812024090920250627,Mezzomonte,1,SHAPE02153
134,0000000022024090920250627,0003205002024090920250627,Sarche. Centro Comm.,1,SHAPE02698
71,0000000022024090920250627,0003202812024090920250627,Ponte Arche Autostazione,1,SHAPE00033
520,0000000052024090920250627,0003228992024090920250627,Trento. Autostazione,1,SHAPE00828
549,0000000042024090920250627,0003234782024090920250627,Pergine V. Intermodale,1,SHAPE00048
71,0000000022024090920250627,0003203492024090920250627,Tione. Autostazione,0,SHAPE01790
324,0000000062024090920250627,0003246042024090920250627,Male',1,SHAPE02758
181,0000000042024090920250627,0003215842024090920250627,Aldeno,0,SHAPE00057
116,0000000062024090920250627,0003238602024090920250627,Caoria,0,SHAPE00203
71,0000000022024090920250627,0003209462024090920250627,Tione. Autostazione,0,SHAPE00587
71,0000000072024102120250627,0003265052024102120250627,Trento. Autostazione,1,SHAPE00080
340,0000000062024092720250627,0003263162024092720250627,Rovere'. Trentinalatte,0,SHAPE00070
687,0000006272024090920250627,0003210102024090920250627,Terlago,1,SHAPE00561
108,0000000352024090920250627,0003237372024090920250627,Borgo Valsugana-C.Intermodale,1,SHAPE00518
343,0000000052024090920250627,0003197382024090920250627,Faedo. Pineta,0,SHAPE00631
110,0000000042024090920250627,0003220492024090920250627,Rovereto. Via Manzoni,0,SHAPE00040
520,0000000022024090920250627,0003229562024090920250627,Borgo V. Valli,0,SHAPE00788
336,0000000072024090920250627,0003244452024090920250627,Peio,0,SHAPE00052
554,0000000022024090920250627,0003234112024090920250627,Ischia di Pergine,0,SHAPE00726
375,0000000052024090920250627,0003249142024090920250627,Malgolo Piazza De Betta,1,SHAPE02959
96,0000000052024090920250627,0003225972024090920250627,Svaldi,0,SHAPE03063
695,0000000072024093020241130,0003264402024093020241130,Trento. Staz. Fs,1,
198,0000000022024090920250627,0003214442024090920250627,Folgaria. Via Battisti,0,SHAPE00347
618,0000004512024090920250627,0003238092024090920250627,Fiera di Primiero,1,SHAPE00987
526,0000000022024090920250627,0003222392024090920250627,Pergine V. Intermodale,1,SHAPE03082
134,0000000062024090920250627,0003208042024090920250627,S. Massenza,0,SHAPE00628
175,0000000052024090920250627,0003204702024090920250627,V.Cavedine. Via S.Udalrico,0,SHAPE01932
300,0000000822024090920250627,0003198032024090920250627,Civezzano,0,SHAPE00849
188,0000000042024090920250627,0003229812024090920250627,Levico T. Via Avancini,0,SHAPE00089
503,0000000052024090920250627,0003219202024090920250627,Avio-Carabinieri,0,SHAPE00901
92,0000000052024090920250627,0003225872024090920250627,Baselga di Pine'. Lago,1,SHAPE02307
71,0000000072024090920250627,0003202662024090920250627,Ponte Arche Autostazione,1,SHAPE00033
691,0000000072024120120250627,0003263632024120120250627,Bassano Del Grappa. Staz. Fs,0,
231,0000000062024090920250627,0003224882024090920250627,Brentonico,0,SHAPE01290
231,0000000022024103020250627,0003265462024103020250627,Saccone,0,SHAPE01706
634,0000000042024090920250627,0003220552024090920250627,Bolognano,0,SHAPE01105
503,0000000062024090920250627,0003218942024090920250627,Serravalle,0,SHAPE02783
336,0000000022024090920250627,0003246282024090920250627,Fucine,1,SHAPE03017
3,0000000022024090920250627,0003195142024090920250627,Capriana,1,SHAPE01396
638,0000000072024090920250627,0003260792024090920250627,Ora-Staz. Fs,1,SHAPE00063
