"id","legal_name","position","addr_street","addr_housenumber","addr_postcode","municipality","health_facility_type","opening_hours","longitude","latitude","transport_option","user","bus_stop","train_stop","walking_distance"
"pharm-7","Farmacia Rigoni","ViaBrennero-15-38060-Calliano","Via Brennero","15",38060,"Calliano","pharmacy",NA,11.092814945964,45.92929890554,"pharm-7_stop-urb-2835_(0.28km-3min)","pharm-7","stop-urb-2835",NA,"(0.28 km, 3 min)"
"pharm-7","Farmacia Rigoni","ViaBrennero-15-38060-Calliano","Via Brennero","15",38060,"Calliano","pharmacy",NA,11.092814945964,45.92929890554,"pharm-7_stop-urb-2836_(0.27km-3min)","pharm-7","stop-urb-2836",NA,"(0.27 km, 3 min)"
"pharm-7","Farmacia Rigoni","ViaBrennero-15-38060-Calliano","Via Brennero","15",38060,"Calliano","pharmacy",NA,11.092814945964,45.92929890554,"pharm-7_stop-urb-2856_(0.85km-10min)","pharm-7","stop-urb-2856",NA,"(0.85 km, 10 min)"
"pharm-7","Farmacia Rigoni","ViaBrennero-15-38060-Calliano","Via Brennero","15",38060,"Calliano","pharmacy",NA,11.092814945964,45.92929890554,"pharm-7_stop-urb-2857_(0.63km-8min)","pharm-7","stop-urb-2857",NA,"(0.63 km, 8 min)"
"pharm-7","Farmacia Rigoni","ViaBrennero-15-38060-Calliano","Via Brennero","15",38060,"Calliano","pharmacy",NA,11.092814945964,45.92929890554,"pharm-7_stop-urb-2858_(0.06km-1min)","pharm-7","stop-urb-2858",NA,"(0.06 km, 1 min)"
"pharm-7","Farmacia Rigoni","ViaBrennero-15-38060-Calliano","Via Brennero","15",38060,"Calliano","pharmacy",NA,11.092814945964,45.92929890554,"pharm-7_stop-urb-2859_(0.05km-1min)","pharm-7","stop-urb-2859",NA,"(0.05 km, 1 min)"
"pharm-7","Farmacia Rigoni","ViaBrennero-15-38060-Calliano","Via Brennero","15",38060,"Calliano","pharmacy",NA,11.092814945964,45.92929890554,"pharm-7_stop-urb-2906_(0.61km-7min)","pharm-7","stop-urb-2906",NA,"(0.61 km, 7 min)"
"pharm-7","Farmacia Rigoni","ViaBrennero-15-38060-Calliano","Via Brennero","15",38060,"Calliano","pharmacy",NA,11.092814945964,45.92929890554,"pharm-7_stop-urb-2907_(0.60km-7min)","pharm-7","stop-urb-2907",NA,"(0.60 km, 7 min)"
"pharm-7","Farmacia Rigoni","ViaBrennero-15-38060-Calliano","Via Brennero","15",38060,"Calliano","pharmacy",NA,11.092814945964,45.92929890554,"pharm-7_stop-urb-2908_(0.96km-12min)","pharm-7","stop-urb-2908",NA,"(0.96 km, 12 min)"
"pharm-7","Farmacia Rigoni","ViaBrennero-15-38060-Calliano","Via Brennero","15",38060,"Calliano","pharmacy",NA,11.092814945964,45.92929890554,"pharm-7_stop-ext-1120_(0.59km-7min)","pharm-7","stop-ext-1120",NA,"(0.59 km, 7 min)"
